ContigID	GOSlim_bin
gi|379075349|gb|JR973018.1|	RNA metabolism
gi|379111812|gb|JT009482.1|	other biological processes
gi|379074167|gb|JR971836.1|	signal transduction
gi|379123887|gb|JT021557.1|	other biological processes
gi|379077010|gb|JR974679.1|	RNA metabolism
gi|379078219|gb|JR975888.1|	cell organization and biogenesis
gi|379091357|gb|JR989026.1|	transport
gi|379090718|gb|JR988387.1|	cell organization and biogenesis
gi|379103023|gb|JT000693.1|	death
gi|379093453|gb|JR991122.1|	transport
gi|379089059|gb|JR986728.1|	cell organization and biogenesis
gi|379095434|gb|JR993103.1|	DNA metabolism
gi|379081587|gb|JR979256.1|	transport
gi|379091403|gb|JR989072.1|	transport
gi|379085605|gb|JR983274.1|	cell-cell signaling
gi|379077658|gb|JR975327.1|	cell cycle and proliferation
gi|379115407|gb|JT013077.1|	cell organization and biogenesis
gi|379114590|gb|JT012260.1|	protein metabolism
gi|379123067|gb|JT020737.1|	cell organization and biogenesis
gi|379116608|gb|JT014278.1|	protein metabolism
gi|379116827|gb|JT014497.1|	other biological processes
gi|379115935|gb|JT013605.1|	cell cycle and proliferation
gi|379117977|gb|JT015647.1|	protein metabolism
gi|379110737|gb|JT008407.1|	transport
gi|379097643|gb|JR995312.1|	developmental processes
gi|379093541|gb|JR991210.1|	other biological processes
gi|379083067|gb|JR980736.1|	transport
gi|379092596|gb|JR990265.1|	cell-cell signaling
gi|379086758|gb|JR984427.1|	other metabolic processes
gi|379082964|gb|JR980633.1|	death
gi|379078819|gb|JR976488.1|	transport
gi|379091751|gb|JR989420.1|	transport
gi|379087982|gb|JR985651.1|	other metabolic processes
gi|379103166|gb|JT000836.1|	other metabolic processes
gi|379095947|gb|JR993616.1|	signal transduction
gi|379075543|gb|JR973212.1|	transport
gi|379125411|gb|JT023081.1|	stress response
gi|379078191|gb|JR975860.1|	developmental processes
gi|379095929|gb|JR993598.1|	other metabolic processes
gi|379086931|gb|JR984600.1|	other biological processes
gi|379089520|gb|JR987189.1|	RNA metabolism
gi|379119753|gb|JT017423.1|	protein metabolism
gi|379097439|gb|JR995108.1|	other metabolic processes
gi|379100624|gb|JR998293.1|	developmental processes
gi|379101338|gb|JR999007.1|	transport
gi|379096013|gb|JR993682.1|	signal transduction
gi|379087862|gb|JR985531.1|	other metabolic processes
gi|379091547|gb|JR989216.1|	developmental processes
gi|379076472|gb|JR974141.1|	RNA metabolism
gi|379108363|gb|JT006033.1|	signal transduction
gi|379115351|gb|JT013021.1|	developmental processes
gi|379116492|gb|JT014162.1|	other biological processes
gi|379125165|gb|JT022835.1|	cell organization and biogenesis
gi|379072993|gb|JR970662.1|	other biological processes
gi|379082700|gb|JR980369.1|	other metabolic processes
gi|379087346|gb|JR985015.1|	transport
gi|379097253|gb|JR994922.1|	transport
gi|379077112|gb|JR974781.1|	other metabolic processes
gi|379075194|gb|JR972863.1|	protein metabolism
gi|379105654|gb|JT003324.1|	other metabolic processes
gi|379087074|gb|JR984743.1|	cell organization and biogenesis
gi|379098004|gb|JR995673.1|	cell organization and biogenesis
gi|379120154|gb|JT017824.1|	transport
